"street_num","street","owner"
"18001","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"15061","JEFFERSON",CITY OF NEWPORT NEWS-WATERWORKS
"89","CRAFFORD",CITY OF NEWPORT NEWS
"362","YORKTOWN",CITY OF NEWPORT NEWS
"350","YORKTOWN",ECONOMIC DEVELOPMENT AUTHORITY
"153","CRAFFORD",CITY OF NEWPORT NEWS
"17901","WARWICK",CITY OF NEWPORT NEWS
"17651","WARWICK",CITY OF NEWPORT NEWS
"17645","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"17631","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"17637","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"17627","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"17621","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"17611","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"17641","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"165","YORKTOWN",ECONOMIC DEVELOPMENT AUTHORITY OF
"210","YORKTOWN",CITY OF NEWPORT NEWS
"185","YORKTOWN",ECONOMIC DEVELOPMENT AUTHORITY
"170","YORKTOWN",CITY OF NEWPORT NEWS
"163","YORKTOWN",CITY OF NEWPORT NEWS
"13800","JEFFERSON",CITY OF NEWPORT NEWS
"17951","JEFFERSON",CITY OF NEWPORT NEWS-WATERWORKS
"30","CARLETON",CITY OF NEWPORT NEWS
"75","YORKTOWN",ECONOMIC DEVELOPMENT AUTHORITY
"9","ELMHURST",CITY OF NEWPORT NEWS
"100","YORKTOWN",CITY OF NEWPORT NEWS-WATERWORKS
"17346","WARWICK",CITY OF NEWPORT NEWS SCHOOL BOARD
"358","COVINA",CITY OF NEWPORT NEWS
"17300","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"161","HARWOOD",CITY OF NEWPORT NEWS
"141","HARWOOD",CITY OF NEWPORT NEWS-WATERWORKS
"276","ENTERPRISE",CITY OF NEWPORT NEWS
"261","ENTERPRISE",INDUSTRIAL DEVELOPMENT AUTHORITY
"13560","JEFFERSON",CITY OF NEWPORT NEWS-WATERWORKS
"806 OLD FORT","EUSTIS",CITY OF NEWPORT NEWS
"150","ENTERPRISE",INDUSTRIAL DEVELOPMENT AUTHORITY
"120","ENTERPRISE",INDUSTRIAL DEVELOPMENT AUTHORITY
"161","PICKETTS",CITY OF NEWPORT NEWS
"254","ENTERPRISE",CITY OF NEWPORT NEWS
"212","PICKETTS",CITY OF NEWPORT NEWS
"265","PICKETTS",INDUSTRIAL DEVELOPMENT AUTHORITY
"271","PICKETTS",INDUSTRIAL DEVELOPMENT AUTHORITY
"270","PICKETTS",INDUSTRIAL DEVELOPMENT AUTHORITY
"16894","WARWICK",CITY OF NEWPORT NEWS-WATERWORKS
"16886","WARWICK",CITY OF NEWPORT NEWS
"301 FORT","EUSTIS",CITY OF NEWPORT NEWS
"13540","JEFFERSON",CITY OF NEWPORT NEWS-WATERWORKS
"870 OLD FORT","EUSTIS",CITY OF NEWPORT NEWS
"13460","WOODSIDE",CITY OF NEWPORT NEWS SCHOOL BOARD
"13450","WOODSIDE",CITY OF NEWPORT NEWS SCHOOL BOARD
"13411","WOODSIDE",CITY OF NEWPORT NEWS SCHOOL BOARD
"892 OLD FORT","EUSTIS",CITY OF NEWPORT NEWS
"950 FORT","EUSTIS",CITY OF NEWPORT NEWS
"310","CHARLES",CITY OF NEWPORT NEWS
"501 FORT","EUSTIS",CITY OF NEWPORT NEWS-WATERWORKS
"425 INDUSTRIAL","PARK",CITY OF NEWPORT NEWS-WATERWORKS
"521 INDUSTRIAL","PARK",CITY OF NEWPORT NEWS-WATERWORKS
"13236","JEFFERSON",CITY OF NEWPORT NEWS
"500 FORT","EUSTIS",CITY OF NEWPORT NEWS-WATERWORKS
"511","RICHNECK",CITY OF NEWPORT NEWS
"491","RICHNECK",CITY OF NEWPORT NEWS
"751","SHIELDS",CITY OF NEWPORT NEWS
"788 INDUSTRIAL","PARK",CITY OF NEWPORT NEWS
"796 INDUSTRIAL","PARK",CITY OF NEWPORT NEWS
"791 INDUSTRIAL","PARK",CITY OF NEWPORT NEWS
"361 RIVERS","RIDGE",CITY OF NEWPORT NEWS
"260 RIVERS","RIDGE",CITY OF NEWPORT NEWS
"280 RIVERS","RIDGE",CITY OF NEWPORT NEWS
"11","RESERVOIR",CITY OF NEWPORT NEWS
